numFrame:X:Y:VX:VY
0:38.86136778296493:22.677194645579267:0.11272599:-0.0013442622
1:38.85685874380716:22.67724841606326:-0.11272599:0.0013442622
2:38.859304020579266:22.676690227229418:0.06113192:-0.013954721
3:38.859304020579266:22.676690227229418:0.0:0.0
4:38.85665902486661:22.67581197599085:-0.0661249:-0.021956282
5:38.86231772818216:22.676964200647863:0.14146759:0.02880562
6:38.859304020579266:22.676690227229418:-0.07534269:-0.0068493355
7:38.851538026391005:22.678487697694358:-0.19414987:0.044936765
8:38.857073825743136:22.677194645579267:0.138395:-0.032326303
9:38.86780487804878:22.675653225038108:0.26827633:-0.038535517
10:38.860069609851365:22.67641881431021:-0.19338173:0.019139733
11:38.86231772818216:22.676964200647863:0.056202963:0.013634659
12:38.85360434927591:22.679030523532774:-0.21783449:0.051658075
13:38.860069609851365:22.67641881431021:0.16163152:-0.06529273
14:38.86231772818216:22.676964200647863:0.056202963:0.013634659
15:38.8435390267721:22.676280547351368:-0.46946755:-0.017091334
16:38.836584710842224:22.677194645579267:-0.17385791:0.022852458
17:38.844455685499234:22.684791646817832:0.19677438:0.18992504
18:38.84126274294969:22.676738876714936:-0.07982357:-0.20131928
19:38.86120135051448:22.69289050590701:0.4984652:0.40379074
20:38.85687154630335:22.692939155392526:-0.10824511:0.0012162372
21:38.84126274294969:22.676738876714936:-0.3902201:-0.405007
22:38.85360434927591:22.679030523532774:0.30854017:0.057291176
23:38.85360434927591:22.679030523532774:0.0:0.0
24:38.84682926829268:22.67463414634146:-0.16937704:-0.10990943
25:38.84682926829268:22.67463414634146:0.0:0.0
26:38.86780487804878:22.67463414634146:0.5243903:0.0
27:38.8435390267721:22.676280547351368:-0.6066463:0.04116003
28:38.86556956221417:22.67513856469131:0.5507634:-0.028549569
29:38.86556956221417:22.67513856469131:0.0:0.0
30:38.86328815739329:22.67463414634146:-0.057035122:-0.01261046
31:38.867989233993896:22.6931337533346:0.11752692:0.4624902
32:38.8954403463224:22.69907155106707:0.6862778:0.14844495
33:38.87908899818978:22.72122242997332:-0.40878373:0.553772
34:38.87903010670731:22.757189762766767:-0.0014722871:0.8991834
35:38.86471179496951:22.79685701695884:-0.3579578:0.9916814
36:38.849330876048015:22.837067096989326:-0.384523:1.0052521
37:38.84435326552972:22.860792682926828:-0.12444027:0.59313965
38:38.81361703267911:22.872153618044965:-0.7684059:0.2840234
39:38.792539002953504:22.928397544302587:-0.5269508:1.4060982
40:38.80141625381097:22.937994295445883:0.22193128:0.23991878
41:38.7914482302782:22.97043838128811:-0.2492006:0.81110215
42:38.80192067216082:23.016967773437496:0.26181105:1.1632348
43:38.80403820503049:23.077646484375:0.052938323:1.5169679
44:38.80145466129954:23.131816406249996:-0.0645886:1.3542482
